,ProofType,Algorithm,CoinName,PC 1,PC 2,PC 3,class
MAG,PoW/PoS,X11,Magnet,-0.37341395524246174,1.2956034470954072,-0.18375075020473708,0
TAU,DPoS,DPoS,Lamden Tau,3.8528896442112535,1.8214792487614744,-0.6533818785765709,0
ECA,PoW/PoS,NIST5,Electra,0.22639008050131007,1.573972410678981,-0.19136560028495309,0
BCD,PoW/PoS,X13,Bitcoin Diamond,-0.27140653143916615,1.8490338946999993,-0.18894109144014706,0
XSH,PoW,Multiple,SHIELD,-0.09948542341496364,-1.874953307058221,0.07151711990303933,1
CNBC,PoW/PoS,Scrypt,Cash & Back Coin,-0.32384484795623447,1.1355502355103766,-0.1619750396690594,0
XUN,PoW,CryptoNight,UltraNote,1.1747443758141376,-2.378006243961107,0.12555852211964622,1
COAL,PoW,CryptoNight,BitCoal,0.30245311282274623,-2.3476056147549755,0.13429751708561094,1
DAXX,PoW,Ethash,DaxxCoin,-0.051990000243618155,-2.1072883727441516,0.11821006327820703,1
BWK,PoS,NIST5,Bulwark,-0.3089533453214213,1.2374033457381606,-0.10598734329634331,0
BOXY,PoW,Scrypt,BoxyCoin,-0.16084584818394138,-1.0762406798129656,0.011934434623183667,1
KLKS,PoS,Quark,Kalkulus,-0.3506118026659986,1.2653520958910198,-0.04323360838743282,0
AC3,PoW,X11,AC3,-0.20473298879795326,-0.9163587477826622,-0.009902949405419907,1
LTHN,PoW,CryptoNight-V7,Lethean,-0.13069168620945504,-2.237297891418398,0.10745244954616351,1
GER,PoW/PoS,Scrypt,GermanCoin,0.10447469374218543,1.1148896400523274,-0.1652481383025647,0
LTCU,PoW/PoS,Scrypt,LiteCoin Ultra,-0.32559374565858984,1.1355326513215247,-0.1619435731234041,0
POP,PoW,Scrypt,PopularCoin,-0.07428673984074839,-1.076743664094277,0.010620894159905858,1
PNX,PoW/PoS,X11,PhantomX,-0.37401828235805185,1.29564949352887,-0.18374913224286904,0
PHO,PoW,BLAKE256,Photon,1.1559104610989748,-1.2924249350136163,0.0062565042787941895,1
SUCR,PoW,X11,Sucre,-0.20961209897158367,-0.9161496991737449,-0.009860994230120258,1
ACCO,PoW/PoS,Scrypt,Accolade,-0.32636742579708367,1.1355771301370434,-0.1619389321202335,0
OMGC,PoW/PoS,Scrypt,OmiseGO Classic,-0.3256548645431641,1.1355874574975264,-0.16195231431093832,0
SPK,PoW,NeoScrypt,SparksPay,-0.18279479400253737,-1.6311100582185432,0.06267649442057173,1
GOA,PoW,NeoScrypt,GoaCoin,-0.18276291458432933,-1.631116785079924,0.06267717221891696,1
WAGE,PoS,Quark,Digiwage,-0.34974260327373846,1.2653109087488312,-0.04324038195073563,0
GUN,PoW,NeoScrypt,GunCoin,-0.1755434559097875,-1.631200933944735,0.06257510928784871,1
IRL,PoW,Scrypt,IrishCoin,-0.16060532782929288,-1.0762067807077573,0.011924517195911347,1
TROLL,PoW/PoS,Scrypt,Trollcoin,-0.31264146041172475,1.1354454442994313,-0.16213800429264347,0
LCP,PoW/PoS,Scrypt,Litecoin Plus,-0.32674574486423846,1.1355968175664655,-0.1619362965719972,0
MONK,PoS,X11,Monkey Project,-0.32747331714375216,0.9578309931242246,-0.10757961607317242,0
ECC,PoS,Scrypt,ECC,0.2232937010291739,0.7973262527672017,-0.09384658638350402,0
PCOIN,PoW,X11,Pioneer Coin,-0.2095343740778321,-0.9161492972042894,-0.009862325284838354,1
UBTC,PoW,SHA-256,UnitedBitcoin,-0.14534033565542498,-1.3372146816879955,0.05713176338076777,1
ITZ,PoW,C11,Interzone,-0.1767463500899109,-1.2560595931030154,0.03521610832325493,1
TPAY,PoS,POS 3.0,TokenPay,-0.3426544436999946,1.364998595369469,-0.050718679461207616,0
MCT,PoS,Ethash,1717 Masonic Commemorative Token,-0.25020847483076436,-0.22896310808252768,0.021022332302959194,1
CWIS,PoW,Scrypt,Crypto Wisdom Coin,-0.16125510222439454,-1.0762007162846374,0.011933971177497985,1
MBC,PoW and PoS,Scrypt,My Big Coin,-0.24669746669337456,0.4492096355728668,-0.07658273236624126,0
TRTL,PoW,CryptoNight,TurtleCoin,8.353555535206837,-2.7815538009056273,0.08086883037322275,1
MUN,PoW,SkunkHash,MUNcoin,-0.18122011765755264,-2.171032850363424,0.2738408346397869,1
USX,PoW/PoS,Scrypt,Unified Society USDEX,-0.3221046936050698,1.1355945517783683,-0.16201111123075887,0
NBR,PoW,CryptoNight,Niobio Cash,0.3064874934029753,-2.3476967260800166,0.13424831064952272,1
BSR,PoS,X11,BitSoar Coin,-0.2514527317441825,0.9576342744474022,-0.10877674237617717,0
SSS,PoW,Scrypt,ShareChain,0.039472410862442575,-1.076380452660348,0.008712718485403222,1
CRDNC,PoW/PoS,SHA-256,Credence Coin,-0.310668390732463,0.8745707880396724,-0.11673899722401662,0
TRF,PoW,Dagger,Travelflex,-0.16752553181364857,-2.317048992207402,0.175830219785737,1
KREDS,PoW,Lyra2REv2,KREDS,-0.17758612522527573,-1.50021265565927,0.07801782920573418,1
TOKC,PoS,X13,Tokyo Coin,-0.2191818267221133,1.510970763296294,-0.11282018791742192,0
BBP,POBh,Proof-of-BibleHash,BiblePay,-0.19939206666942025,2.951558910480002,-10.588125371827832,0
LCC,PoW + Hive,SHA-256 + Hive,LitecoinCash,-0.43024063870688933,2.921937804292965,18.440339386212038,3
FLIP,PoW,Scrypt,BitFlip,-0.16120315556078418,-1.076210308635958,0.011934832562971037,1
LOT,PoW,Scrypt,LottoCoin,0.15867737760998235,-1.0782533156580694,0.007113334736924844,1
BASHC,PoW/PoS,Skein,BashCoin,-0.41080399207809765,1.9521535518468192,-0.22353552986803324,0
DGM,PoW/PoS,X11,DigiMoney,-0.3747332353919861,1.2956426407696398,-0.18373632826122718,0
